run_accession	fastq_ftp	sample_alias	secondary_sample_accession	experiment_alias
SRR5305478	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305478/SRR5305478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305478/SRR5305478_2.fastq.gz	GSM2516807	SRS2018175	GSM2516807
SRR5305480	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305480/SRR5305480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305480/SRR5305480_2.fastq.gz	GSM2516809	SRS2018177	GSM2516809
SRR5305482	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305482/SRR5305482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305482/SRR5305482_2.fastq.gz	GSM2516811	SRS2018178	GSM2516811
SRR5305485	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305485/SRR5305485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305485/SRR5305485_2.fastq.gz	GSM2516814	SRS2018181	GSM2516814
SRR5305492	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305492/SRR5305492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305492/SRR5305492_2.fastq.gz	GSM2516821	SRS2018185	GSM2516821
SRR5305493	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305493/SRR5305493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305493/SRR5305493_2.fastq.gz	GSM2516822	SRS2018191	GSM2516822
SRR5305497	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305497/SRR5305497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305497/SRR5305497_2.fastq.gz	GSM2516826	SRS2018194	GSM2516826
SRR5305500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305500/SRR5305500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305500/SRR5305500_2.fastq.gz	GSM2516829	SRS2018196	GSM2516829
SRR5305502	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305502/SRR5305502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305502/SRR5305502_2.fastq.gz	GSM2516831	SRS2018200	GSM2516831
SRR5305503	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305503/SRR5305503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305503/SRR5305503_2.fastq.gz	GSM2516832	SRS2018199	GSM2516832
SRR5305509	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305509/SRR5305509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305509/SRR5305509_2.fastq.gz	GSM2516838	SRS2018206	GSM2516838
SRR5305513	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305513/SRR5305513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305513/SRR5305513_2.fastq.gz	GSM2516842	SRS2018210	GSM2516842
SRR5305515	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305515/SRR5305515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305515/SRR5305515_2.fastq.gz	GSM2516844	SRS2018211	GSM2516844
SRR5305521	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305521/SRR5305521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305521/SRR5305521_2.fastq.gz	GSM2516850	SRS2018217	GSM2516850
SRR5305525	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305525/SRR5305525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305525/SRR5305525_2.fastq.gz	GSM2516854	SRS2018219	GSM2516854
SRR5305532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305532/SRR5305532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305532/SRR5305532_2.fastq.gz	GSM2516861	SRS2018228	GSM2516861
SRR5305533	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305533/SRR5305533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305533/SRR5305533_2.fastq.gz	GSM2516862	SRS2018231	GSM2516862
SRR5305536	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305536/SRR5305536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305536/SRR5305536_2.fastq.gz	GSM2516865	SRS2018238	GSM2516865
SRR5305546	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305546/SRR5305546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305546/SRR5305546_2.fastq.gz	GSM2516875	SRS2018242	GSM2516875
SRR5305548	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305548/SRR5305548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305548/SRR5305548_2.fastq.gz	GSM2516877	SRS2018246	GSM2516877
SRR5305550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305550/SRR5305550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305550/SRR5305550_2.fastq.gz	GSM2516879	SRS2018245	GSM2516879
